time,open,high,low,close
2025-07-16 01:15:00,3381.0,3384.2,3381.0,3384.2
2025-07-16 01:30:00,3384.2,3385.8,3384.2,3385.8
2025-07-16 02:00:00,3381.0,3382.6,3381.0,3382.6
2025-07-16 02:15:00,3384.2,3385.8,3384.2,3385.8
2025-07-16 02:30:00,3387.4,3389.0,3387.4,3387.4
2025-07-16 02:45:00,3389.0,3390.6,3389.0,3389.0
2025-07-16 03:00:00,3389.0,3389.0,3385.8,3385.8
2025-07-16 03:15:00,3387.4,3387.4,3387.4,3387.4
2025-07-16 03:30:00,3385.8,3389.0,3385.8,3387.4
2025-07-16 03:45:00,3389.0,3389.0,3385.8,3385.8
2025-07-16 04:00:00,3387.4,3391.9,3385.8,3391.9
2025-07-16 04:15:00,3392.5,3395.5,3392.5,3394.3
2025-07-16 04:30:00,3393.1,3394.3,3391.3,3392.5
2025-07-16 04:45:00,3391.3,3393.7,3390.7,3391.9
2025-07-16 05:00:00,3391.9,3392.1,3388.5,3389.3
2025-07-16 05:15:00,3388.9,3390.1,3388.5,3390.1
2025-07-16 05:30:00,3390.5,3391.7,3388.5,3389.7
2025-07-16 05:45:00,3389.3,3389.3,3386.1,3387.3
2025-07-16 06:00:00,3387.3,3390.9,3386.9,3390.9
2025-07-16 06:15:00,3389.7,3394.1,3389.7,3393.7
2025-07-16 06:30:00,3394.1,3396.5,3394.1,3396.1
2025-07-16 06:45:00,3396.5,3396.5,3394.5,3396.1
2025-07-16 07:00:00,3394.9,3396.1,3394.1,3394.9
2025-07-16 07:15:00,3394.1,3395.7,3394.1,3395.7
2025-07-16 07:30:00,3395.7,3399.3,3395.7,3398.1
2025-07-16 07:45:00,3399.3,3399.3,3398.9,3399.3
2025-07-16 08:00:00,3399.3,3400.5,3399.3,3399.7
2025-07-16 08:15:00,3400.1,3400.9,3400.1,3400.9
2025-07-16 08:30:00,3400.1,3401.3,3396.9,3397.7
2025-07-16 08:45:00,3398.1,3400.3,3398.1,3398.5
2025-07-16 09:00:00,3397.9,3401.5,3397.3,3401.3
2025-07-16 09:15:00,3401.7,3402.5,3401.3,3402.1
2025-07-16 09:30:00,3402.1,3403.3,3400.9,3401.7
2025-07-16 09:45:00,3402.1,3402.9,3399.7,3400.5
2025-07-16 10:00:00,3399.3,3400.9,3397.9,3398.5
2025-07-16 10:15:00,3398.5,3400.3,3398.5,3399.1
2025-07-16 10:30:00,3399.1,3399.1,3396.7,3397.3
2025-07-16 10:45:00,3396.7,3399.1,3396.7,3399.1
2025-07-16 11:00:00,3399.1,3403.9,3399.1,3403.3
2025-07-16 11:15:00,3402.7,3402.7,3400.9,3401.5
2025-07-16 11:45:00,3401.5,3404.5,3401.5,3403.9
2025-07-16 12:00:00,3403.3,3404.5,3400.9,3402.1
2025-07-16 12:15:00,3402.1,3403.9,3400.3,3402.1
2025-07-16 12:30:00,3402.1,3403.3,3401.5,3403.3
2025-07-16 12:45:00,3402.7,3403.9,3401.5,3402.1
2025-07-16 13:00:00,3401.5,3402.1,3399.1,3401.5
2025-07-16 13:15:00,3400.9,3400.9,3397.9,3399.7
2025-07-16 13:30:00,3399.1,3400.9,3399.1,3400.3
2025-07-16 13:45:00,3397.9,3398.5,3397.9,3397.9
2025-07-16 14:00:00,3396.1,3396.9,3395.5,3396.9
2025-07-16 14:15:00,3398.1,3399.3,3395.3,3396.5
2025-07-16 14:30:00,3396.5,3399.3,3396.5,3398.9
2025-07-16 14:45:00,3400.5,3402.9,3400.1,3400.9
2025-07-16 15:00:00,3400.9,3402.1,3398.9,3400.9
2025-07-16 15:15:00,3400.5,3400.5,3396.1,3396.5
2025-07-16 15:30:00,3393.7,3399.7,3393.7,3396.7
2025-07-16 15:45:00,3396.7,3397.3,3392.5,3395.5
2025-07-16 16:00:00,3396.1,3398.5,3394.9,3394.9
2025-07-16 16:15:00,3396.1,3400.9,3394.9,3396.7
2025-07-16 16:30:00,3394.9,3395.5,3387.1,3388.9
2025-07-16 16:45:00,3387.7,3388.9,3383.5,3387.1
2025-07-16 17:00:00,3387.1,3389.7,3384.5,3387.7
2025-07-16 17:15:00,3387.7,3390.7,3383.3,3387.1
2025-07-16 17:30:00,3385.3,3387.1,3380.5,3386.5
2025-07-16 17:45:00,3385.9,3403.9,3384.7,3399.1
2025-07-16 18:00:00,3400.3,3415.9,3399.7,3412.3
2025-07-16 18:15:00,3412.3,3434.5,3407.5,3425.5
2025-07-16 18:30:00,3426.1,3439.3,3420.1,3423.1
2025-07-16 18:45:00,3421.9,3427.7,3397.7,3405.3
2025-07-16 19:00:00,3404.9,3416.9,3400.5,3416.9
2025-07-16 19:15:00,3416.5,3416.5,3409.7,3414.5
2025-07-16 19:30:00,3415.3,3415.7,3410.9,3412.9
2025-07-16 19:45:00,3413.7,3416.5,3409.7,3410.5
2025-07-16 20:00:00,3410.9,3414.5,3410.9,3413.7
2025-07-16 20:15:00,3413.7,3416.1,3411.3,3413.3
2025-07-16 20:30:00,3414.1,3417.7,3412.1,3416.5
2025-07-16 20:45:00,3416.5,3418.9,3415.3,3415.9
2025-07-16 21:00:00,3416.5,3418.1,3416.1,3416.9
2025-07-16 21:15:00,3417.3,3417.3,3413.3,3415.7
2025-07-16 21:30:00,3413.7,3416.9,3413.7,3415.7
2025-07-16 21:45:00,3414.1,3415.3,3410.9,3412.5
