time,open,high,low,close
2025-09-01 00:00:00,146.961,147.004,146.922,146.994
2025-09-01 01:00:00,147.01,147.157,147.01,147.13
2025-09-01 02:00:00,147.125,147.186,147.079,147.12
2025-09-01 03:00:00,147.125,147.257,147.118,147.233
2025-09-01 04:00:00,147.233,147.38,147.182,147.287
2025-09-01 05:00:00,147.287,147.292,146.851,146.894
2025-09-01 06:00:00,146.894,147.002,146.838,146.895
2025-09-01 07:00:00,146.895,147.061,146.882,147.044
2025-09-01 08:00:00,147.042,147.062,146.894,146.913
2025-09-01 09:00:00,146.915,146.944,146.786,146.936
2025-09-01 10:00:00,146.937,147.203,146.897,147.071
2025-09-01 11:00:00,147.071,147.2,146.96,146.987
2025-09-01 12:00:00,146.985,147.12,146.938,147.103
2025-09-01 13:00:00,147.103,147.144,147.048,147.129
2025-09-01 14:00:00,147.129,147.168,147.061,147.158
2025-09-01 15:00:00,147.158,147.233,147.149,147.2
2025-09-01 16:00:00,147.2,147.273,147.166,147.252
2025-09-01 17:00:00,147.252,147.297,147.222,147.29
2025-09-01 18:00:00,147.29,147.307,147.252,147.272
2025-09-01 19:00:00,147.272,147.286,147.198,147.235
2025-09-01 20:00:00,147.237,147.242,147.21,147.219
2025-09-01 21:00:00,147.219,147.232,147.208,147.22
2025-09-01 22:00:00,147.215,147.219,147.155,147.184
2025-09-01 23:00:00,147.184,147.188,147.141,147.175
2025-09-02 00:00:00,147.064,147.206,147.064,147.169
2025-09-02 01:00:00,147.172,147.199,147.121,147.168
2025-09-02 02:00:00,147.168,147.174,147.045,147.092
2025-09-02 03:00:00,147.092,147.356,147.088,147.303
2025-09-02 04:00:00,147.302,147.585,147.19,147.543
2025-09-02 05:00:00,147.542,147.717,147.527,147.664
2025-09-02 06:00:00,147.664,147.751,147.57,147.703
2025-09-02 07:00:00,147.704,147.862,147.685,147.724
2025-09-02 08:00:00,147.724,147.924,147.696,147.917
2025-09-02 09:00:00,147.912,148.052,147.907,147.963
2025-09-02 10:00:00,147.963,148.74,147.95,148.652
2025-09-02 11:00:00,148.65,148.793,148.219,148.436
2025-09-02 12:00:00,148.436,148.645,148.369,148.562
2025-09-02 13:00:00,148.562,148.707,148.536,148.603
2025-09-02 14:00:00,148.605,148.743,148.511,148.62
2025-09-02 15:00:00,148.618,148.943,148.531,148.82
2025-09-02 16:00:00,148.82,148.845,148.346,148.409
2025-09-02 17:00:00,148.394,148.394,147.938,148.083
2025-09-02 18:00:00,148.083,148.336,148.073,148.231
2025-09-02 19:00:00,148.23,148.334,148.202,148.297
2025-09-02 20:00:00,148.297,148.419,148.245,148.379
2025-09-02 21:00:00,148.38,148.532,148.366,148.473
2025-09-02 22:00:00,148.473,148.484,148.319,148.357
2025-09-02 23:00:00,148.353,148.408,148.314,148.334
2025-09-03 00:00:00,148.276,148.354,148.274,148.345
2025-09-03 01:00:00,148.343,148.56,148.311,148.502
2025-09-03 02:00:00,148.496,148.588,148.447,148.582
2025-09-03 03:00:00,148.58,148.766,148.508,148.755
2025-09-03 04:00:00,148.755,148.9,148.722,148.866
2025-09-03 05:00:00,148.865,148.903,148.708,148.843
2025-09-03 06:00:00,148.843,148.918,148.809,148.912
2025-09-03 07:00:00,148.912,148.925,148.553,148.588
2025-09-03 08:00:00,148.588,148.659,148.488,148.604
2025-09-03 09:00:00,148.605,148.682,148.511,148.615
2025-09-03 10:00:00,148.613,149.135,148.612,148.734
2025-09-03 11:00:00,148.735,148.773,148.563,148.587
2025-09-03 12:00:00,148.587,148.707,148.433,148.556
2025-09-03 13:00:00,148.555,148.734,148.477,148.693
2025-09-03 14:00:00,148.693,148.724,148.596,148.615
2025-09-03 15:00:00,148.616,148.798,148.546,148.728
2025-09-03 16:00:00,148.727,148.795,148.575,148.63
2025-09-03 17:00:00,148.63,148.642,148.074,148.171
2025-09-03 18:00:00,148.171,148.2,147.929,147.966
2025-09-03 19:00:00,147.966,148.031,147.906,147.939
2025-09-03 20:00:00,147.937,148.057,147.88,148.039
2025-09-03 21:00:00,148.039,148.07,147.92,147.97
2025-09-03 22:00:00,147.97,148.131,147.963,148.131
2025-09-03 23:00:00,148.133,148.16,148.081,148.106
2025-09-04 00:00:00,148.055,148.095,148.039,148.052
2025-09-04 01:00:00,148.047,148.147,148.033,148.055
2025-09-04 02:00:00,148.057,148.062,147.948,147.975
2025-09-04 03:00:00,147.968,148.168,147.903,148.029
2025-09-04 04:00:00,148.028,148.109,147.788,148.011
2025-09-04 05:00:00,148.012,148.191,148.012,148.134
2025-09-04 06:00:00,148.133,148.264,148.118,148.241
2025-09-04 07:00:00,148.242,148.283,148.127,148.241
2025-09-04 08:00:00,148.24,148.283,148.161,148.225
2025-09-04 09:00:00,148.23,148.247,148.13,148.197
2025-09-04 10:00:00,148.193,148.416,148.111,148.365
2025-09-04 11:00:00,148.367,148.407,148.135,148.215
2025-09-04 12:00:00,148.214,148.374,148.167,148.321
2025-09-04 13:00:00,148.32,148.337,148.203,148.262
2025-09-04 14:00:00,148.262,148.393,148.252,148.342
2025-09-04 15:00:00,148.344,148.529,148.011,148.427
2025-09-04 16:00:00,148.428,148.528,148.353,148.416
2025-09-04 17:00:00,148.504,148.751,148.384,148.739
2025-09-04 18:00:00,148.737,148.778,148.626,148.631
2025-09-04 19:00:00,148.629,148.742,148.598,148.622
2025-09-04 20:00:00,148.62,148.673,148.605,148.645
2025-09-04 21:00:00,148.645,148.652,148.538,148.565
2025-09-04 22:00:00,148.565,148.566,148.454,148.484
2025-09-04 23:00:00,148.484,148.552,148.437,148.466
2025-09-05 00:00:00,148.441,148.484,148.352,148.412
2025-09-05 01:00:00,148.413,148.516,148.412,148.478
2025-09-05 02:00:00,148.478,148.505,148.329,148.422
2025-09-05 03:00:00,148.419,148.437,148.127,148.171
2025-09-05 04:00:00,148.172,148.265,148.088,148.144
2025-09-05 05:00:00,148.14,148.18,148.079,148.179
2025-09-05 06:00:00,148.18,148.205,148.112,148.175
2025-09-05 07:00:00,148.174,148.237,148.167,148.217
2025-09-05 08:00:00,148.217,148.218,148.169,148.17
2025-09-05 09:00:00,148.171,148.275,148.148,148.236
2025-09-05 10:00:00,148.236,148.258,148.191,148.214
2025-09-05 11:00:00,148.213,148.225,148.113,148.16
2025-09-05 12:00:00,148.158,148.189,148.083,148.171
2025-09-05 13:00:00,148.171,148.186,148.08,148.146
2025-09-05 14:00:00,148.147,148.252,148.133,148.196
2025-09-05 15:00:00,148.196,148.199,147.18,147.299
2025-09-05 16:00:00,147.299,147.463,147.04,147.057
2025-09-05 17:00:00,147.054,147.208,146.993,147.078
2025-09-05 18:00:00,147.077,147.083,146.816,146.844
2025-09-05 19:00:00,146.844,147.153,146.821,147.138
2025-09-05 20:00:00,147.138,147.304,147.13,147.274
2025-09-05 21:00:00,147.273,147.484,147.263,147.464
2025-09-05 22:00:00,147.465,147.498,147.372,147.463
2025-09-05 23:00:00,147.463,147.504,147.334,147.389
2025-09-08 00:00:00,148.146,148.202,147.899,147.915
2025-09-08 01:00:00,147.917,148.472,147.883,148.435
2025-09-08 02:00:00,148.432,148.452,148.206,148.314
2025-09-08 03:00:00,148.314,148.576,148.294,148.337
2025-09-08 04:00:00,148.336,148.389,148.123,148.139
2025-09-08 05:00:00,148.139,148.151,148.002,148.078
2025-09-08 06:00:00,148.081,148.22,148.018,148.201
2025-09-08 07:00:00,148.2,148.254,148.111,148.16
2025-09-08 08:00:00,148.16,148.179,148.003,148.135
2025-09-08 09:00:00,148.135,148.161,147.8,147.827
2025-09-08 10:00:00,147.828,147.834,147.513,147.533
2025-09-08 11:00:00,147.532,147.738,147.463,147.687
2025-09-08 12:00:00,147.686,147.772,147.664,147.752
2025-09-08 13:00:00,147.751,147.878,147.747,147.802
2025-09-08 14:00:00,147.803,147.819,147.675,147.777
2025-09-08 15:00:00,147.779,147.879,147.653,147.697
2025-09-08 16:00:00,147.699,147.744,147.536,147.675
2025-09-08 17:00:00,147.675,147.874,147.622,147.748
2025-09-08 18:00:00,147.748,147.766,147.546,147.59
2025-09-08 19:00:00,147.59,147.777,147.552,147.689
2025-09-08 20:00:00,147.689,147.766,147.672,147.728
2025-09-08 21:00:00,147.728,147.729,147.447,147.459
2025-09-08 22:00:00,147.458,147.475,147.341,147.418
2025-09-08 23:00:00,147.418,147.541,147.379,147.523
2025-09-09 00:00:00,147.386,147.523,147.386,147.512
2025-09-09 01:00:00,147.517,147.517,147.39,147.414
2025-09-09 02:00:00,147.403,147.424,147.212,147.374
2025-09-09 03:00:00,147.375,147.433,147.152,147.344
2025-09-09 04:00:00,147.345,147.398,147.197,147.238
2025-09-09 05:00:00,147.236,147.34,147.209,147.333
2025-09-09 06:00:00,147.333,147.403,147.321,147.365
2025-09-09 07:00:00,147.363,147.377,147.092,147.127
2025-09-09 08:00:00,147.127,147.132,146.847,146.858
2025-09-09 09:00:00,146.858,147.133,146.814,147.05
2025-09-09 10:00:00,147.048,147.316,146.997,147.205
2025-09-09 11:00:00,147.204,147.336,146.558,146.624
2025-09-09 12:00:00,146.619,146.619,146.307,146.346
2025-09-09 13:00:00,146.346,146.518,146.325,146.47
2025-09-09 14:00:00,146.47,146.766,146.464,146.729
2025-09-09 15:00:00,146.726,147.005,146.725,146.92
2025-09-09 16:00:00,146.921,146.965,146.777,146.871
2025-09-09 17:00:00,146.866,147.133,146.52,147.096
2025-09-09 18:00:00,147.095,147.349,147.095,147.236
2025-09-09 19:00:00,147.236,147.336,147.181,147.271
2025-09-09 20:00:00,147.271,147.361,147.237,147.354
2025-09-09 21:00:00,147.355,147.432,147.316,147.401
2025-09-09 22:00:00,147.398,147.463,147.39,147.443
2025-09-09 23:00:00,147.445,147.471,147.399,147.401
2025-09-10 00:00:00,147.28,147.412,147.264,147.372
2025-09-10 01:00:00,147.38,147.413,147.34,147.353
2025-09-10 02:00:00,147.35,147.452,147.335,147.395
2025-09-10 03:00:00,147.395,147.475,147.372,147.427
2025-09-10 04:00:00,147.426,147.575,147.331,147.395
2025-09-10 05:00:00,147.387,147.413,147.295,147.299
2025-09-10 06:00:00,147.299,147.399,147.268,147.394
2025-09-10 07:00:00,147.393,147.459,147.322,147.325
2025-09-10 08:00:00,147.326,147.487,147.279,147.425
2025-09-10 09:00:00,147.425,147.587,147.335,147.569
2025-09-10 10:00:00,147.568,147.572,147.391,147.497
2025-09-10 11:00:00,147.498,147.557,147.395,147.517
2025-09-10 12:00:00,147.517,147.543,147.397,147.425
2025-09-10 13:00:00,147.427,147.485,147.395,147.476
2025-09-10 14:00:00,147.476,147.544,147.445,147.515
2025-09-10 15:00:00,147.516,147.643,147.068,147.528
2025-09-10 16:00:00,147.532,147.606,147.273,147.341
2025-09-10 17:00:00,147.341,147.428,147.262,147.402
2025-09-10 18:00:00,147.401,147.442,147.316,147.372
2025-09-10 19:00:00,147.372,147.412,147.279,147.376
2025-09-10 20:00:00,147.376,147.392,147.246,147.332
2025-09-10 21:00:00,147.332,147.352,147.245,147.323
2025-09-10 22:00:00,147.319,147.466,147.314,147.412
2025-09-10 23:00:00,147.412,147.464,147.381,147.461
2025-09-11 00:00:00,147.356,147.415,147.323,147.387
2025-09-11 01:00:00,147.389,147.426,147.341,147.346
2025-09-11 02:00:00,147.346,147.378,147.28,147.35
2025-09-11 03:00:00,147.352,147.467,147.344,147.458
2025-09-11 04:00:00,147.458,147.479,147.32,147.391
2025-09-11 05:00:00,147.39,147.479,147.377,147.466
2025-09-11 06:00:00,147.468,147.478,147.433,147.445
2025-09-11 07:00:00,147.445,147.457,147.413,147.433
2025-09-11 08:00:00,147.434,147.588,147.425,147.58
2025-09-11 09:00:00,147.581,147.788,147.56,147.723
2025-09-11 10:00:00,147.728,147.83,147.654,147.776
2025-09-11 11:00:00,147.774,147.863,147.768,147.848
2025-09-11 12:00:00,147.849,147.991,147.839,147.96
2025-09-11 13:00:00,147.959,147.988,147.896,147.968
2025-09-11 14:00:00,147.97,147.986,147.899,147.966
2025-09-11 15:00:00,147.965,148.181,147.36,147.527
2025-09-11 16:00:00,147.526,147.619,147.33,147.358
2025-09-11 17:00:00,147.359,147.379,146.993,147.188
2025-09-11 18:00:00,147.188,147.31,147.054,147.169
2025-09-11 19:00:00,147.166,147.17,146.986,147.056
2025-09-11 20:00:00,147.055,147.304,147.049,147.289
2025-09-11 21:00:00,147.288,147.308,147.148,147.174
2025-09-11 22:00:00,147.176,147.191,147.086,147.163
2025-09-11 23:00:00,147.163,147.243,147.121,147.22
2025-09-12 00:00:00,147.117,147.192,147.117,147.188
2025-09-12 01:00:00,147.189,147.227,147.118,147.185
2025-09-12 02:00:00,147.183,147.236,147.149,147.226
2025-09-12 03:00:00,147.226,147.337,147.164,147.226
2025-09-12 04:00:00,147.226,147.446,147.21,147.415
2025-09-12 05:00:00,147.416,147.479,147.396,147.421
2025-09-12 06:00:00,147.421,147.48,147.419,147.448
2025-09-12 07:00:00,147.448,147.546,147.447,147.501
2025-09-12 08:00:00,147.502,147.555,147.329,147.347
2025-09-12 09:00:00,147.347,147.505,147.325,147.408
2025-09-12 10:00:00,147.407,147.486,147.242,147.455
2025-09-12 11:00:00,147.456,147.927,147.452,147.892
2025-09-12 12:00:00,147.892,147.983,147.856,147.928
2025-09-12 13:00:00,147.928,147.939,147.742,147.752
2025-09-12 14:00:00,147.752,147.857,147.683,147.838
2025-09-12 15:00:00,147.837,148.071,147.807,147.847
2025-09-12 16:00:00,147.847,147.889,147.698,147.744
2025-09-12 17:00:00,147.744,147.755,147.588,147.668
2025-09-12 18:00:00,147.667,147.865,147.649,147.856
2025-09-12 19:00:00,147.858,147.874,147.629,147.682
2025-09-12 20:00:00,147.681,147.681,147.514,147.558
2025-09-12 21:00:00,147.559,147.56,147.472,147.487
2025-09-12 22:00:00,147.486,147.609,147.462,147.583
2025-09-12 23:00:00,147.581,147.723,147.576,147.656
2025-09-15 00:00:00,147.382,147.588,147.382,147.476
2025-09-15 01:00:00,147.449,147.784,147.405,147.71
2025-09-15 02:00:00,147.707,147.728,147.627,147.675
2025-09-15 03:00:00,147.676,147.69,147.547,147.548
2025-09-15 04:00:00,147.548,147.586,147.538,147.576
2025-09-15 05:00:00,147.576,147.613,147.507,147.515
2025-09-15 06:00:00,147.515,147.517,147.404,147.426
2025-09-15 07:00:00,147.427,147.454,147.338,147.402
2025-09-15 08:00:00,147.402,147.519,147.392,147.51
2025-09-15 09:00:00,147.512,147.609,147.497,147.53
2025-09-15 10:00:00,147.53,147.596,147.372,147.466
2025-09-15 11:00:00,147.468,147.482,147.376,147.411
2025-09-15 12:00:00,147.411,147.429,147.308,147.368
2025-09-15 13:00:00,147.367,147.406,147.245,147.394
2025-09-15 14:00:00,147.392,147.476,147.322,147.414
2025-09-15 15:00:00,147.414,147.417,147.249,147.267
2025-09-15 16:00:00,147.266,147.352,147.23,147.348
2025-09-15 17:00:00,147.348,147.47,147.348,147.418
2025-09-15 18:00:00,147.419,147.435,147.267,147.272
2025-09-15 19:00:00,147.271,147.415,147.24,147.338
2025-09-15 20:00:00,147.339,147.371,147.244,147.256
2025-09-15 21:00:00,147.253,147.327,147.24,147.325
2025-09-15 22:00:00,147.325,147.414,147.312,147.39
2025-09-15 23:00:00,147.391,147.43,147.367,147.405
2025-09-16 00:00:00,147.298,147.358,147.281,147.326
2025-09-16 01:00:00,147.328,147.403,147.326,147.393
2025-09-16 02:00:00,147.394,147.425,147.333,147.399
2025-09-16 03:00:00,147.399,147.501,147.347,147.445
2025-09-16 04:00:00,147.444,147.539,147.262,147.351
2025-09-16 05:00:00,147.351,147.352,147.114,147.151
2025-09-16 06:00:00,147.152,147.199,147.015,147.1
2025-09-16 07:00:00,147.097,147.127,146.97,147.015
2025-09-16 08:00:00,147.016,147.071,146.915,146.993
2025-09-16 09:00:00,146.994,147.028,146.78,146.897
2025-09-16 10:00:00,146.897,146.898,146.692,146.888
2025-09-16 11:00:00,146.889,147.092,146.875,146.996
2025-09-16 12:00:00,146.995,147.007,146.867,146.961
2025-09-16 13:00:00,146.958,147.088,146.943,147.056
2025-09-16 14:00:00,147.053,147.114,146.877,146.956
2025-09-16 15:00:00,146.956,147.257,146.905,147.095
2025-09-16 16:00:00,147.097,147.137,146.735,146.758
2025-09-16 17:00:00,146.756,146.805,146.521,146.527
2025-09-16 18:00:00,146.527,146.683,146.5,146.557
2025-09-16 19:00:00,146.556,146.561,146.35,146.356
2025-09-16 20:00:00,146.355,146.401,146.278,146.375
2025-09-16 21:00:00,146.374,146.396,146.326,146.343
2025-09-16 22:00:00,146.344,146.5,146.344,146.496
2025-09-16 23:00:00,146.496,146.505,146.443,146.452
2025-09-17 00:00:00,146.41,146.495,146.379,146.457
2025-09-17 01:00:00,146.457,146.518,146.426,146.494
2025-09-17 02:00:00,146.491,146.493,146.311,146.411
2025-09-17 03:00:00,146.41,146.567,146.21,146.532
2025-09-17 04:00:00,146.533,146.606,146.43,146.495
2025-09-17 05:00:00,146.496,146.59,146.494,146.538
2025-09-17 06:00:00,146.538,146.564,146.476,146.531
2025-09-17 07:00:00,146.531,146.543,146.433,146.454
2025-09-17 08:00:00,146.454,146.554,146.371,146.516
2025-09-17 09:00:00,146.512,146.545,146.462,146.498
2025-09-17 10:00:00,146.499,146.679,146.48,146.665
2025-09-17 11:00:00,146.665,146.68,146.375,146.454
2025-09-17 12:00:00,146.454,146.454,146.276,146.317
2025-09-17 13:00:00,146.317,146.387,146.202,146.272
2025-09-17 14:00:00,146.272,146.345,146.226,146.337
2025-09-17 15:00:00,146.337,146.476,146.32,146.377
2025-09-17 16:00:00,146.377,146.399,146.243,146.339
2025-09-17 17:00:00,146.34,146.392,146.208,146.341
2025-09-17 18:00:00,146.341,146.384,146.303,146.36
2025-09-17 19:00:00,146.36,146.374,146.252,146.288
2025-09-17 20:00:00,146.288,146.37,146.208,146.208
2025-09-17 21:00:00,146.216,146.857,145.481,146.713
2025-09-17 22:00:00,146.709,146.845,146.438,146.776
2025-09-17 23:00:00,146.778,147.05,146.753,146.98
2025-09-18 00:00:00,146.942,146.96,146.839,146.929
2025-09-18 01:00:00,146.929,146.979,146.795,146.837
2025-09-18 02:00:00,146.834,146.909,146.766,146.882
2025-09-18 03:00:00,146.882,147.031,146.852,146.913
2025-09-18 04:00:00,146.912,147.145,146.845,147.023
2025-09-18 05:00:00,147.022,147.07,146.895,146.907
2025-09-18 06:00:00,146.904,147.053,146.851,147.052
2025-09-18 07:00:00,147.052,147.221,147.04,147.205
