time,open,high,low,close
2025-09-01 00:05:00,146.961,147.004,146.922,146.922
2025-09-01 00:10:00,146.963,146.965,146.952,146.956
2025-09-01 00:15:00,146.96,146.965,146.957,146.962
2025-09-01 00:20:00,146.962,146.962,146.962,146.962
2025-09-01 00:25:00,146.953,146.959,146.949,146.953
2025-09-01 00:30:00,146.959,146.963,146.957,146.959
2025-09-01 00:35:00,146.955,146.965,146.955,146.965
2025-09-01 00:40:00,146.966,146.971,146.957,146.965
2025-09-01 00:45:00,146.965,146.993,146.965,146.993
2025-09-01 00:50:00,146.993,146.993,146.981,146.988
2025-09-01 00:55:00,146.986,146.996,146.983,146.994
2025-09-01 01:00:00,147.01,147.076,147.01,147.065
2025-09-01 01:05:00,147.089,147.122,147.065,147.077
2025-09-01 01:10:00,147.077,147.087,147.055,147.063
2025-09-01 01:15:00,147.064,147.075,147.053,147.075
2025-09-01 01:20:00,147.066,147.067,147.051,147.061
2025-09-01 01:25:00,147.059,147.089,147.052,147.076
2025-09-01 01:30:00,147.076,147.092,147.076,147.078
2025-09-01 01:35:00,147.077,147.104,147.076,147.089
2025-09-01 01:40:00,147.089,147.102,147.082,147.092
2025-09-01 01:45:00,147.092,147.122,147.092,147.111
2025-09-01 01:50:00,147.111,147.135,147.111,147.134
2025-09-01 01:55:00,147.134,147.157,147.128,147.13
2025-09-01 02:00:00,147.125,147.132,147.085,147.099
2025-09-01 02:05:00,147.097,147.176,147.092,147.154
2025-09-01 02:10:00,147.154,147.162,147.144,147.146
2025-09-01 02:15:00,147.146,147.163,147.127,147.162
2025-09-01 02:20:00,147.164,147.164,147.133,147.137
2025-09-01 02:25:00,147.137,147.185,147.134,147.178
2025-09-01 02:30:00,147.178,147.184,147.145,147.147
2025-09-01 02:35:00,147.156,147.17,147.15,147.153
2025-09-01 02:40:00,147.153,147.169,147.146,147.156
2025-09-01 02:45:00,147.157,147.186,147.156,147.172
2025-09-01 02:50:00,147.171,147.172,147.131,147.134
2025-09-01 02:55:00,147.134,147.135,147.079,147.12
2025-09-01 03:00:00,147.125,147.215,147.118,147.19
2025-09-01 03:05:00,147.191,147.24,147.191,147.233
2025-09-01 03:10:00,147.234,147.257,147.204,147.204
2025-09-01 03:15:00,147.204,147.22,147.189,147.211
2025-09-01 03:20:00,147.212,147.239,147.186,147.187
2025-09-01 03:25:00,147.188,147.237,147.186,147.194
2025-09-01 03:30:00,147.194,147.227,147.182,147.182
2025-09-01 03:35:00,147.182,147.204,147.156,147.204
2025-09-01 03:40:00,147.205,147.24,147.183,147.198
2025-09-01 03:45:00,147.198,147.233,147.193,147.227
2025-09-01 03:50:00,147.226,147.257,147.191,147.24
2025-09-01 03:55:00,147.232,147.253,147.216,147.233
2025-09-01 04:00:00,147.233,147.244,147.182,147.207
2025-09-01 04:05:00,147.207,147.289,147.198,147.266
2025-09-01 04:10:00,147.262,147.288,147.255,147.262
2025-09-01 04:15:00,147.262,147.318,147.261,147.308
2025-09-01 04:20:00,147.31,147.366,147.31,147.336
2025-09-01 04:25:00,147.336,147.358,147.32,147.351
2025-09-01 04:30:00,147.355,147.38,147.333,147.35
2025-09-01 04:35:00,147.352,147.37,147.315,147.353
2025-09-01 04:40:00,147.353,147.367,147.316,147.351
2025-09-01 04:45:00,147.351,147.359,147.268,147.274
2025-09-01 04:50:00,147.272,147.299,147.253,147.299
2025-09-01 04:55:00,147.299,147.312,147.276,147.287
2025-09-01 05:00:00,147.287,147.292,147.24,147.244
2025-09-01 05:05:00,147.244,147.244,147.153,147.163
2025-09-01 05:10:00,147.163,147.18,147.139,147.17
2025-09-01 05:15:00,147.17,147.17,147.098,147.1
2025-09-01 05:20:00,147.1,147.115,147.051,147.07
2025-09-01 05:25:00,147.071,147.072,147.03,147.042
2025-09-01 05:30:00,147.041,147.06,147.029,147.048
2025-09-01 05:35:00,147.048,147.06,147.025,147.052
2025-09-01 05:40:00,147.052,147.055,147.03,147.046
2025-09-01 05:45:00,147.044,147.058,147.02,147.049
2025-09-01 05:50:00,147.051,147.062,146.987,146.996
2025-09-01 05:55:00,146.998,146.998,146.851,146.894
2025-09-01 06:00:00,146.894,146.915,146.838,146.91
2025-09-01 06:05:00,146.913,146.934,146.895,146.911
2025-09-01 06:10:00,146.912,146.967,146.912,146.936
2025-09-01 06:15:00,146.935,146.959,146.921,146.951
2025-09-01 06:20:00,146.95,146.959,146.913,146.918
2025-09-01 06:25:00,146.916,146.95,146.916,146.931
2025-09-01 06:30:00,146.931,147.002,146.925,146.925
2025-09-01 06:35:00,146.926,146.945,146.884,146.887
2025-09-01 06:40:00,146.887,146.915,146.886,146.89
2025-09-01 06:45:00,146.886,146.927,146.877,146.915
2025-09-01 06:50:00,146.914,146.939,146.901,146.932
2025-09-01 06:55:00,146.931,146.943,146.873,146.895
2025-09-01 07:00:00,146.895,146.919,146.882,146.905
2025-09-01 07:05:00,146.905,146.938,146.904,146.917
2025-09-01 07:10:00,146.916,146.941,146.91,146.926
2025-09-01 07:15:00,146.925,146.949,146.91,146.925
2025-09-01 07:20:00,146.925,146.945,146.913,146.925
2025-09-01 07:25:00,146.927,146.985,146.927,146.967
2025-09-01 07:30:00,146.967,147.02,146.962,147.015
2025-09-01 07:35:00,147.016,147.034,146.975,146.98
2025-09-01 07:40:00,146.98,146.987,146.956,146.977
2025-09-01 07:45:00,146.977,147.029,146.973,147.012
2025-09-01 07:50:00,147.012,147.061,147.008,147.039
2025-09-01 07:55:00,147.039,147.051,147.032,147.044
2025-09-01 08:00:00,147.042,147.062,147.03,147.031
2025-09-01 08:05:00,147.031,147.031,146.99,146.994
2025-09-01 08:10:00,146.996,147.016,146.984,147.015
2025-09-01 08:15:00,147.015,147.016,146.987,146.989
2025-09-01 08:20:00,146.988,147.004,146.982,146.994
2025-09-01 08:25:00,146.994,146.999,146.986,146.99
2025-09-01 08:30:00,146.991,147.005,146.94,146.943
2025-09-01 08:35:00,146.943,146.945,146.92,146.921
2025-09-01 08:40:00,146.921,146.964,146.921,146.961
2025-09-01 08:45:00,146.961,146.965,146.922,146.931
2025-09-01 08:50:00,146.931,146.935,146.902,146.913
2025-09-01 08:55:00,146.912,146.928,146.894,146.913
2025-09-01 09:00:00,146.915,146.923,146.891,146.906
2025-09-01 09:05:00,146.907,146.91,146.84,146.857
2025-09-01 09:10:00,146.857,146.904,146.853,146.9
2025-09-01 09:15:00,146.898,146.933,146.865,146.922
2025-09-01 09:20:00,146.922,146.944,146.879,146.886
2025-09-01 09:25:00,146.886,146.896,146.85,146.867
